ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2011-01-01,2255.355563550187,-1165.428866471026,2720.723419816376,2255.355563550187,2255.355563550187,-1510.815787869433,-1510.815787869433,-1510.815787869433,-1462.4131262745236,-1462.4131262745236,-1462.4131262745236,-48.402661594909496,-48.402661594909496,-48.402661594909496,0.0,0.0,0.0,744.539775680754
2011-01-02,2257.0516610790155,-3417.124821223702,783.5203859276273,2257.0516610790155,2257.0516610790155,-3565.177449884034,-3565.177449884034,-3565.177449884034,-3373.559935972768,-3373.559935972768,-3373.559935972768,-191.61751391126623,-191.61751391126623,-191.61751391126623,0.0,0.0,0.0,-1308.1257888050186
2011-01-03,2258.7477586078444,746.6840785443756,4844.765744339757,2258.7477586078444,2258.7477586078444,538.0206975275964,538.0206975275964,538.0206975275964,869.4816339486783,869.4816339486783,869.4816339486783,-331.4609364210819,-331.4609364210819,-331.4609364210819,0.0,0.0,0.0,2796.768456135441
2011-01-04,2260.443856136673,682.5099798686338,4869.5594927518805,2260.443856136673,2260.443856136673,542.9517486662476,542.9517486662476,542.9517486662476,1009.1670890592108,1009.1670890592108,1009.1670890592108,-466.2153403929632,-466.2153403929632,-466.2153403929632,0.0,0.0,0.0,2803.3956048029204
2011-01-05,2262.1399536655013,667.5872646462363,4815.577708908352,2262.1399536655013,2262.1399536655013,370.8564753538845,370.8564753538845,370.8564753538845,965.134019637017,965.134019637017,965.134019637017,-594.2775442831324,-594.2775442831324,-594.2775442831324,0.0,0.0,0.0,2632.9964290193857
2011-01-06,2263.8360511943297,378.4666632307617,4348.726297327295,2263.8360511943297,2263.8360511943297,153.46392999169166,153.46392999169166,153.46392999169166,867.6563831389361,867.6563831389361,867.6563831389361,-714.1924531472445,-714.1924531472445,-714.1924531472445,0.0,0.0,0.0,2417.2999811860213
2011-01-07,2265.532148723158,580.9266138437375,4464.950286083239,2265.532148723158,2265.532148723158,299.8510481426034,299.8510481426034,299.8510481426034,1124.5339364668478,1124.5339364668478,1124.5339364668478,-824.6828883242443,-824.6828883242443,-824.6828883242443,0.0,0.0,0.0,2565.3831968657614
2011-01-08,2267.2282462519865,-2038.8288970591507,1858.861062808272,2267.2282462519865,2267.2282462519865,-2387.088012115517,-2387.088012115517,-2387.088012115517,-1462.4131262735073,-1462.4131262735073,-1462.4131262735073,-924.6748858420096,-924.6748858420096,-924.6748858420096,0.0,0.0,0.0,-119.85976586353036
2011-01-09,2268.924343780815,-4329.3405363259035,-132.44446273522908,2268.924343780815,2268.924343780815,-4386.877839197949,-4386.877839197949,-4386.877839197949,-3373.5599359729135,-3373.5599359729135,-3373.5599359729135,-1013.317903225035,-1013.317903225035,-1013.317903225035,0.0,0.0,0.0,-2117.9534954171336
2011-01-10,2270.6204413096434,34.44716071885859,4021.515382895402,2270.6204413096434,2270.6204413096434,-220.51787464658474,-220.51787464658474,-220.51787464658474,869.4816339516716,869.4816339516716,869.4816339516716,-1089.9995085982564,-1089.9995085982564,-1089.9995085982564,0.0,0.0,0.0,2050.1025666630585
2011-01-11,2272.3165388384723,154.2704664913571,4151.912929005773,2272.3165388384723,2272.3165388384723,-145.18718051684283,-145.18718051684283,-145.18718051684283,1009.1670890591505,1009.1670890591505,1009.1670890591505,-1154.3542695759934,-1154.3542695759934,-1154.3542695759934,0.0,0.0,0.0,2127.1293583216293
2011-01-12,2274.0126363673007,-8.370055393119364,3956.9932643108873,2274.0126363673007,2274.0126363673007,-241.13268891371027,-241.13268891371027,-241.13268891371027,965.1340196324519,965.1340196324519,965.1340196324519,-1206.2667085461624,-1206.2667085461624,-1206.2667085461624,0.0,0.0,0.0,2032.8799474535904
2011-01-13,2275.708733896129,-187.5749078704987,3928.650473704386,2275.708733896129,2275.708733896129,-378.2119585201116,-378.2119585201116,-378.2119585201116,867.6563831408833,867.6563831408833,867.6563831408833,-1245.8683416609952,-1245.8683416609952,-1245.8683416609952,0.0,0.0,0.0,1897.4967753760175
2011-01-14,2277.4048314249576,111.74147791608478,4069.3216303820045,2277.4048314249576,2277.4048314249576,-148.99503070252058,-148.99503070252058,-148.99503070252058,1124.533936472661,1124.533936472661,1124.533936472661,-1273.5289671751814,-1273.5289671751814,-1273.5289671751814,0.0,0.0,0.0,2128.409800722437
2011-01-15,2279.1009289537865,-2553.488728216283,1447.2418791442176,2279.1009289537865,2279.1009289537865,-2752.255637144463,-2752.255637144463,-2752.255637144463,-1462.4131262749315,-1462.4131262749315,-1462.4131262749315,-1289.842510869531,-1289.842510869531,-1289.842510869531,0.0,0.0,0.0,-473.1547081906765
2011-01-16,2280.797026482615,-4489.656909354514,-340.90174413393925,2280.797026482615,2280.797026482615,-4669.167804501916,-4669.167804501916,-4669.167804501916,-3373.5599359698126,-3373.5599359698126,-3373.5599359698126,-1295.6078685321038,-1295.6078685321038,-1295.6078685321038,0.0,0.0,0.0,-2388.3707780193013
2011-01-17,2282.4931240114433,-335.0973290216341,3799.8105018798315,2282.4931240114433,2282.4931240114433,-422.3236705404228,-422.3236705404228,-422.3236705404228,869.4816339536391,869.4816339536391,869.4816339536391,-1291.8053044940618,-1291.8053044940618,-1291.8053044940618,0.0,0.0,0.0,1860.1694534710205
2011-01-18,2284.189221540272,-35.215429550177745,4210.0844783091525,2284.189221540272,2284.189221540272,-270.4019790262948,-270.4019790262948,-270.4019790262948,1009.1670890590901,1009.1670890590901,1009.1670890590901,-1279.569068085385,-1279.569068085385,-1279.569068085385,0.0,0.0,0.0,2013.787242513977
2011-01-19,2285.8853190691,43.106407298674654,3987.4162775487953,2285.8853190691,2285.8853190691,-295.0229544603283,-295.0229544603283,-295.0229544603283,965.1340196358587,965.1340196358587,965.1340196358587,-1260.156974096187,-1260.156974096187,-1260.156974096187,0.0,0.0,0.0,1990.862364608772
